ILMN_1757379	ILMN_1706935	ILMN_1715748	ILMN_1678308	ILMN_1670576	ILMN_1730679	ILMN_1684114	ILMN_1688124	ILMN_1749403	ILMN_1782098
NA18913	6.8029425602608	7.45312174427957	7.14667555241893	10.8323560884516	7.33892081201644	10.1019693616434	12.0920398360564	6.55848255568694	12.9524307390354	7.32470307529941
NA18916	6.83501681355456	7.3318581391252	7.03764429551051	11.4302214664856	10.3784236530905	10.6704858063263	12.1926088681223	6.7509441560575	13.0643047135979	7.41008541133861
NA18917	6.95063773044493	7.20911457966536	7.07994051635915	11.5806839513266	7.62034358669208	11.1667361549011	13.2572827517451	6.42005350668257	13.5015924632766	7.91931614325874
NA18923	7.01796914894336	7.19381251801545	7.36540404946434	11.5649332919815	10.1358007879892	11.0388232989034	13.3311818732962	6.67868452316579	13.7138740702058	7.5820067664393
NA18924	6.86047343285313	7.7674954664771	6.94797954100657	11.4508246493645	8.91061494460663	10.6336426019418	12.2815107942823	6.63368633979411	13.3892448135115	7.19765544844094
NA18933	6.85775547397107	7.21054299278796	6.94944773811195	10.9907036657855	9.05066824660467	10.6696124783786	12.7254660781224	6.68574407979856	12.6829409344082	7.29384187889444
NA18934	6.88564938372851	7.35079129187329	7.00002126175811	11.30087738099	9.0754942109543	10.4949563174525	12.1737648056437	6.7636658074012	12.5507481579	7.08286243713431
NA19093	6.84999357257013	7.51322792236155	7.42570502496235	11.1475311677532	10.3210295152788	10.3528697008717	12.586992805402	6.53285836209023	13.6676805339018	7.45222548939877
NA19095	7.10886295542861	7.22008667799594	6.93647498613867	11.4701436896175	9.76847201568393	10.7373626392979	12.6485813542186	6.67149041304931	12.9401551315601	7.26110520739694
NA19096	7.11304307496367	7.39451400587692	7.1196244663812	11.4707911981601	7.23384551144942	10.7753847768044	12.7940460177607	6.80518535038876	12.965891531783	7.31393932314837
NA19098	6.8476909758036	7.40039353260699	7.26471108828247	10.8940666764753	9.81966348865754	10.0128838238521	12.9927555914211	6.68055769068241	13.6856423789921	7.44676626337862
NA19099	7.13326386269698	7.69897447830871	7.53535200649238	11.3766693034579	9.63906058788188	10.6898680437047	13.3481183007138	6.4256626864324	13.6566824570267	8.01276659492881
NA19101	6.84533305088761	7.35022073375031	7.22638727242311	11.5892067840053	7.60380921714029	10.5982733648737	13.3372656521534	6.59017551300422	13.6718161873616	7.75638410627349
NA19102	7.03010098815599	7.48128792569009	7.54047786469655	11.0908726494698	9.35180771415641	10.2712040147476	12.6945385737145	6.70346661773461	13.6686798954902	7.68940536018335
NA19107	7.03272920967754	7.31943016171964	7.07288066835469	11.6287128069159	9.94418202892017	11.2726856449419	13.4148235836648	6.74735165124951	13.5813891899159	7.22678415704909
NA19108	6.82525741085457	7.43915372923207	6.87009129649321	11.6254335332146	7.43024895655497	11.3045219625174	12.9238670795246	6.48307011135496	13.2647151835968	7.28854044124945
